site,miner_id,ip,mac,scanner_result,model,firmware,rt_hash,avg_hash,elapsed,temperature,fan_rpm,pool_state,worker
DEMO-RIVERBEND,RB-00051,10.240.0.60,02:00:00:00:33:5f,Success,WhatsMiner M30S++ 112T,20221226,105059.10 GH/s,112717.31 GH/s,0d 09h 04m,76.8/76.7/76.6 C,5885/6006/5929/5494 RPM,Connected,demo-riverbend.00051
DEMO-RIVERBEND,RB-00052,10.240.0.61,02:00:00:00:34:84,Success,Antminer S19j Pro 104T,20221226,0 GH/s,100106.52 GH/s,0d 07h 43m,255/255/255,6420/5947/5539/5820 RPM,Connected,demo-riverbend.00052
DEMO-RIVERBEND,RB-00053,10.240.0.62,02:00:00:00:35:a9,Success,Antminer S19 95T,20221226,98827.71 GH/s,97384.43 GH/s,0d 05h 41m,63.2/62.3/62.5 C,5784/5515/5981/5836 RPM,Connected,demo-riverbend.00053
DEMO-RIVERBEND,RB-00054,10.240.0.63,02:00:00:00:36:ce,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,0 GH/s,0d 15h 26m,255/255/255,5936/6114/5920/5495 RPM,Unknown,demo-riverbend.00054
DEMO-RIVERBEND,RB-00055,10.240.0.64,02:00:00:00:37:f3,Success,Antminer S19j Pro 104T,20221226,0 GH/s,105073.58 GH/s,0d 07h 51m,255/255/255,6330/6036/5912/6220 RPM,Unknown,demo-riverbend.00055
DEMO-RIVERBEND,RB-00056,10.240.0.65,02:00:00:00:38:18,Success,Antminer S19 95T,20221226,0 GH/s,96778.36 GH/s,0d 06h 41m,255/255/255,6478/5743/5510/5512 RPM,Unknown,demo-riverbend.00056
DEMO-RIVERBEND,RB-00057,10.240.0.66,02:00:00:00:39:3d,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,109173.64 GH/s,0d 04h 31m,68.5/67.9/69.7 C,5426/5798/5744/6441 RPM,Connected,demo-riverbend.00057
DEMO-RIVERBEND,RB-00058,10.240.0.67,02:00:00:00:3a:62,Success,Antminer S19j Pro 104T,20221226,0 GH/s,0 GH/s,0d 11h 45m,255/255/255,5730/6027/5602/5424 RPM,Connected,demo-riverbend.00058
DEMO-RIVERBEND,RB-00059,10.240.0.68,02:00:00:00:3b:87,Success,Antminer S19 95T,20221226,0 GH/s,95148.80 GH/s,0d 03h 03m,60.3/59.8/60.4 C,6066/5841/6025/5820 RPM,Unknown,demo-riverbend.00059
DEMO-RIVERBEND,RB-00060,10.240.0.69,02:00:00:00:3c:ac,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,114159.41 GH/s,0d 15h 34m,71.0/72.6/72.5 C,5462/5904/6471/5656 RPM,Connected,demo-riverbend.00060
DEMO-RIVERBEND,RB-00061,10.240.0.70,02:00:00:00:3d:d1,Success,Antminer S19j Pro 104T,20221226,0 GH/s,100358.61 GH/s,0d 19h 19m,,5922/5585/5407/5940 RPM,Connected,demo-riverbend.00061
DEMO-RIVERBEND,RB-00062,10.240.0.71,02:00:00:00:3e:f6,Success,Antminer S19 95T,20221226,0 GH/s,96308.59 GH/s,0d 07h 40m,,6323/5767/5433/6184 RPM,Connected,demo-riverbend.00062
DEMO-RIVERBEND,RB-00063,10.240.0.72,02:00:00:00:3f:1b,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,113939.58 GH/s,0d 19h 59m,75.6/75.7/76.5 C,5612/6247/5619/5566 RPM,Connected,demo-riverbend.00063
DEMO-RIVERBEND,RB-00064,10.240.0.73,02:00:00:00:40:40,Success,Antminer S19j Pro 104T,20221226,0 GH/s,103444.09 GH/s,0d 13h 19m,72.2/72.1/72.1 C,5681/5827/5633/6182 RPM,Connected,demo-riverbend.00064
DEMO-RIVERBEND,RB-00065,10.240.0.74,02:00:00:00:41:65,Success,Antminer S19 95T,20221226,0 GH/s,94685.72 GH/s,0d 17h 29m,,5912/6421/5824/6154 RPM,Connected,demo-riverbend.00065
DEMO-RIVERBEND,RB-00066,10.240.0.75,02:00:00:00:42:8a,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,112367.13 GH/s,0d 18h 57m,,5464/6073/5837/5861 RPM,Connected,demo-riverbend.00066
DEMO-RIVERBEND,RB-00067,10.240.0.76,02:00:00:00:43:af,Success,Antminer S19j Pro 104T,20221226,0 GH/s,100285.62 GH/s,0d 19h 18m,70.4/71.1/70.6 C,6077/6220/5581/6137 RPM,Unknown,demo-riverbend.00067
DEMO-RIVERBEND,RB-00068,10.240.0.77,02:00:00:00:44:d4,Success,Antminer S19 95T,20221226,97636.14 GH/s,94831.32 GH/s,0d 04h 59m,63.3/62.5/62.3 C,5644/5547/6218/6278 RPM,Connected,demo-riverbend.00068
DEMO-RIVERBEND,RB-00069,10.240.0.78,02:00:00:00:45:f9,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,108861.77 GH/s,0d 17h 02m,63.7/64.8/63.8 C,6145/5995/5639/5579 RPM,Connected,demo-riverbend.00069
DEMO-RIVERBEND,RB-00070,10.240.0.79,02:00:00:00:46:1e,Success,Antminer S19j Pro 104T,20221226,0 GH/s,106436.41 GH/s,0d 18h 43m,77.1/76.8/77.5 C,6378/5451/6326/5468 RPM,Unknown,demo-riverbend.00070
DEMO-RIVERBEND,RB-00071,10.240.0.80,02:00:00:00:47:43,Success,Antminer S19 95T,20221226,0 GH/s,0 GH/s,0d 05h 50m,255/255/255,6281/6309/5657/5720 RPM,Unknown,demo-riverbend.00071
DEMO-RIVERBEND,RB-00072,10.240.0.81,02:00:00:00:48:68,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,114648.30 GH/s,0d 12h 25m,77.7/76.9/78.1 C,5530/6098/6382/5545 RPM,Connected,demo-riverbend.00072
DEMO-RIVERBEND,RB-00073,10.240.0.82,02:00:00:00:49:8d,Success,Antminer S19j Pro 104T,20221226,95586.82 GH/s,102068.75 GH/s,0d 18h 39m,69.1/70.1/69.5 C,6182/5529/5758/6070 RPM,Connected,demo-riverbend.00073
DEMO-RIVERBEND,RB-00074,10.240.0.83,02:00:00:00:4a:b2,Success,Antminer S19 95T,20221226,0 GH/s,95838.76 GH/s,0d 09h 52m,255/255/255,6444/5952/5408/5496 RPM,Connected,demo-riverbend.00074
DEMO-RIVERBEND,RB-00075,10.240.0.84,02:00:00:00:4b:d7,Success,WhatsMiner M30S++ 112T,20221226,111106.31 GH/s,109676.86 GH/s,0d 11h 10m,76.5/78.4/76.2 C,6191/6436/6426/6352 RPM,Connected,demo-riverbend.00075
DEMO-RIVERBEND,RB-00076,10.240.0.85,02:00:00:00:4c:fc,Success,Antminer S19j Pro 104T,20221226,0 GH/s,100188.77 GH/s,0d 03h 14m,74.5/73.6/76.2 C,5655/6169/5631/6149 RPM,Connected,demo-riverbend.00076
DEMO-RIVERBEND,RB-00077,10.240.0.86,02:00:00:00:4d:21,Success,Antminer S19 95T,20221226,0 GH/s,0 GH/s,0d 19h 33m,255/255/255,5784/5790/6027/5935 RPM,Unknown,demo-riverbend.00077
DEMO-RIVERBEND,RB-00078,10.240.0.87,02:00:00:00:4e:46,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,0 GH/s,0d 10h 09m,61.1/60.7/61.1 C,6209/5638/5997/5881 RPM,Connected,demo-riverbend.00078
DEMO-RIVERBEND,RB-00079,10.240.0.88,02:00:00:00:4f:6b,Success,Antminer S19j Pro 104T,20221226,0 GH/s,99974.26 GH/s,0d 08h 11m,65.8/67.0/66.9 C,5849/6179/6432/5827 RPM,Unknown,demo-riverbend.00079
DEMO-RIVERBEND,RB-00080,10.240.0.89,02:00:00:00:50:90,Success,Antminer S19 95T,20221226,92694.80 GH/s,92491.77 GH/s,0d 14h 25m,77.0/76.5/77.3 C,5767/6235/5640/6431 RPM,Connected,demo-riverbend.00080
DEMO-RIVERBEND,RB-00081,10.240.0.90,02:00:00:00:51:b5,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,110419.98 GH/s,0d 14h 27m,73.2/73.5/73.0 C,5728/6206/5833/5880 RPM,Unknown,demo-riverbend.00081
DEMO-RIVERBEND,RB-00082,10.240.0.91,02:00:00:00:52:da,Success,Antminer S19j Pro 104T,20221226,104051.71 GH/s,103377.85 GH/s,0d 06h 02m,71.0/71.2/72.1 C,6143/6105/5591/6326 RPM,Connected,demo-riverbend.00082
DEMO-RIVERBEND,RB-00083,10.240.0.92,02:00:00:00:53:ff,Success,Antminer S19 95T,20221226,97029.13 GH/s,95230.38 GH/s,0d 19h 28m,69.0/70.7/69.9 C,6340/6024/5904/5454 RPM,Connected,demo-riverbend.00083
DEMO-RIVERBEND,RB-00084,10.240.0.93,02:00:00:00:54:24,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,115234.65 GH/s,0d 03h 46m,255/255/255,6051/6078/6100/5569 RPM,Unknown,demo-riverbend.00084
DEMO-RIVERBEND,RB-00085,10.240.0.94,02:00:00:00:55:49,Success,Antminer S19j Pro 104T,20221226,0 GH/s,102116.35 GH/s,0d 12h 46m,67.9/67.3/68.3 C,5680/6072/5432/5704 RPM,Unknown,demo-riverbend.00085
DEMO-RIVERBEND,RB-00086,10.240.0.95,02:00:00:00:56:6e,Success,Antminer S19 95T,20221226,0 GH/s,95584.29 GH/s,0d 12h 41m,255/255/255,6167/5738/6301/6407 RPM,Unknown,demo-riverbend.00086
DEMO-RIVERBEND,RB-00087,10.240.0.96,02:00:00:00:57:93,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,110164.22 GH/s,0d 07h 49m,68.9/69.7/68.6 C,6225/5664/6232/5706 RPM,Connected,demo-riverbend.00087
DEMO-RIVERBEND,RB-00088,10.240.0.97,02:00:00:00:58:b8,Success,Antminer S19j Pro 104T,20221226,100872.98 GH/s,101330.05 GH/s,0d 02h 13m,69.3/69.6/71.2 C,6225/5808/6464/6185 RPM,Connected,demo-riverbend.00088
DEMO-RIVERBEND,RB-00089,10.240.0.98,02:00:00:00:59:dd,Success,Antminer S19 95T,20221226,0 GH/s,97313.92 GH/s,0d 03h 16m,,6272/6172/5542/5869 RPM,Connected,demo-riverbend.00089
DEMO-RIVERBEND,RB-00090,10.240.0.99,02:00:00:00:5a:02,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,110261.61 GH/s,0d 15h 02m,255/255/255,6035/5910/5451/5406 RPM,Connected,demo-riverbend.00090
DEMO-RIVERBEND,RB-00091,10.240.0.100,02:00:00:00:5b:27,Success,Antminer S19j Pro 104T,20221226,0 GH/s,0 GH/s,0d 18h 54m,,5790/5839/5561/5693 RPM,Connected,demo-riverbend.00091
DEMO-RIVERBEND,RB-00092,10.240.0.101,02:00:00:00:5c:4c,Success,Antminer S19 95T,20221226,0 GH/s,91202.20 GH/s,0d 14h 52m,76.5/77.0/77.8 C,5598/6014/6143/5617 RPM,Unknown,demo-riverbend.00092
DEMO-RIVERBEND,RB-00093,10.240.0.102,02:00:00:00:5d:71,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,107727.31 GH/s,0d 16h 21m,67.3/68.1/67.2 C,5499/6321/5864/6334 RPM,Connected,demo-riverbend.00093
DEMO-RIVERBEND,RB-00094,10.240.0.103,02:00:00:00:5e:96,Success,Antminer S19j Pro 104T,20221226,0 GH/s,107102.27 GH/s,0d 18h 41m,68.7/68.8/68.7 C,6342/5626/5945/6401 RPM,Connected,demo-riverbend.00094
DEMO-RIVERBEND,RB-00095,10.240.0.104,02:00:00:00:5f:bb,Success,Antminer S19 95T,20221226,0 GH/s,93452.23 GH/s,0d 02h 10m,75.4/74.5/75.3 C,,Connected,demo-riverbend.00095
DEMO-RIVERBEND,RB-00096,10.240.0.105,02:00:00:00:60:e0,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,110988.58 GH/s,0d 15h 25m,70.4/72.2/72.2 C,5708/6007/6452/5833 RPM,Connected,demo-riverbend.00096
DEMO-RIVERBEND,RB-00097,10.240.0.106,02:00:00:00:61:05,Success,Antminer S19j Pro 104T,20221226,0 GH/s,100741.68 GH/s,0d 15h 18m,,5980/6227/5449/5843 RPM,Unknown,demo-riverbend.00097
DEMO-RIVERBEND,RB-00098,10.240.0.107,02:00:00:00:62:2a,Success,Antminer S19 95T,20221226,0 GH/s,97410.34 GH/s,0d 12h 50m,61.9/61.9/61.9 C,6150/6155/6126/6184 RPM,Connected,demo-riverbend.00098
DEMO-RIVERBEND,RB-00099,10.240.0.108,02:00:00:00:63:4f,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,108028.42 GH/s,0d 08h 39m,255/255/255,6203/5979/5638/5535 RPM,Connected,demo-riverbend.00099
DEMO-RIVERBEND,RB-00100,10.240.0.109,02:00:00:00:64:74,Success,Antminer S19j Pro 104T,20221226,0 GH/s,101063.70 GH/s,0d 18h 34m,77.5/76.9/78.8 C,6154/5417/5468/5593 RPM,Connected,demo-riverbend.00100
DEMO-RIVERBEND,RB-00101,10.240.0.110,02:00:00:00:65:99,Success,Antminer S19 95T,20221226,0 GH/s,92477.45 GH/s,0d 17h 47m,255/255/255,6457/5930/5458/5406 RPM,Connected,demo-riverbend.00101
DEMO-RIVERBEND,RB-00102,10.240.0.111,02:00:00:00:66:be,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,110888.62 GH/s,0d 14h 37m,60.2/59.7/61.3 C,5637/6334/5692/5562 RPM,Unknown,demo-riverbend.00102
DEMO-RIVERBEND,RB-00103,10.240.0.112,02:00:00:00:67:e3,Success,Antminer S19j Pro 104T,20221226,0 GH/s,104071.54 GH/s,0d 02h 51m,255/255/255,5979/5818/5832/6111 RPM,Connected,demo-riverbend.00103
DEMO-RIVERBEND,RB-00104,10.240.0.113,02:00:00:00:68:08,Success,Antminer S19 95T,20221226,0 GH/s,95233.03 GH/s,0d 13h 24m,61.9/63.5/61.8 C,6494/6059/5934/5844 RPM,Connected,demo-riverbend.00104
DEMO-RIVERBEND,RB-00105,10.240.0.114,02:00:00:00:69:2d,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,107997.75 GH/s,0d 11h 11m,255/255/255,5410/5703/5622/6300 RPM,Connected,demo-riverbend.00105
DEMO-RIVERBEND,RB-00106,10.240.0.115,02:00:00:00:6a:52,Success,Antminer S19j Pro 104T,20221226,0 GH/s,101670.31 GH/s,0d 15h 21m,255/255/255,5813/6403/6124/5863 RPM,Connected,demo-riverbend.00106
DEMO-RIVERBEND,RB-00107,10.240.0.116,02:00:00:00:6b:77,Success,Antminer S19 95T,20221226,0 GH/s,0 GH/s,0d 12h 58m,67.4/69.3/68.4 C,6332/5920/6280/6423 RPM,Connected,demo-riverbend.00107
DEMO-RIVERBEND,RB-00108,10.240.0.117,02:00:00:00:6c:9c,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,112598.54 GH/s,0d 03h 54m,60.7/61.6/62.3 C,5414/5638/6238/5726 RPM,Connected,demo-riverbend.00108
